"Age","lx","Lx","ex","limit","gali","sr","chr","exhadlnm","exhgalinm","exhsrnm","exhchrnm","Txhadlm","Txhgalim","Txhsrm","Txhchrm","exhadlm","exhgalim","exhsrm","exhchrm","unhadlnm","unhgalinm","unhsrnm","unhchrnm","ratioadlnm","ratiogalinm","ratiosrnm","ratiochrnm","unhadlm","unhgalim","unhsrm","unhchrm","ratioadlm","ratiogalim","ratiosrm","ratiochrm","sex","country"
50,98132,488585,35.86,0.0407336398639743,0.0760806151518705,0.261316354929393,0.143851485190252,30.4994999148029,29.3391104052057,18.5739515655034,22.4952428079133,2713580.02751959,2605543.38670635,1678316.4215008,2012475.58756008,27.6523461003504,26.5514142859246,17.1026415593364,20.5078423710928,5.36050008519707,6.52088959479434,17.2860484344966,13.3647571920867,0.149484107228028,0.181842989258069,0.482042622267056,0.372692615507159,8.20765389964955,9.30858571407539,18.7573584406636,15.3521576289072,0.228880476844661,0.259581308256425,0.523071902974446,0.428113709673931,"female","ITA"
55,97235,482929,31.17,0.0580931802144727,0.108721300722257,0.324202059681159,0.1919120824633,25.9607525178421,24.9672692923085,15.0335708983304,18.4008005874204,2246296.62275481,2155478.4059863,1318484.55096204,1595423.54694867,23.1017290353763,22.1677215610254,13.559773239698,16.4079142998784,5.20924748215786,6.20273070769148,16.1364291016696,12.7691994125796,0.167123756245039,0.198996814491225,0.517691020265307,0.40966311878664,8.06827096462372,9.00227843897461,17.610226760302,14.7620857001216,0.258847320007178,0.288812269456998,0.564973588716777,0.473599156243876,"female","ITA"
60,95846,474238,26.58,0.0737046008459451,0.0981412594519895,0.371907700971277,0.268298973049512,21.591090421094,20.8383041407478,11.8463664918611,14.5958386911269,1798009.62441877,1731287.13314782,996848.244924678,1210825.72969682,18.7593600611269,18.0632173815059,10.4005200522158,12.6330335089291,4.988909578906,5.74169585925215,14.7336335081389,11.9841613088731,0.187694115082995,0.216015645570058,0.554312773067679,0.450871381071224,7.82063993887313,8.51678261849409,16.1794799477842,13.9469664910709,0.294230246007266,0.320420715518965,0.60870880164726,0.524716572275054,"female","ITA"
65,93705,460930,22.13,0.0858184999435182,0.123327045674497,0.448005772615831,0.375928354150005,17.3964588335324,16.7501458115801,8.93828085024422,11.2262133671714,1372711.94952945,1317209.26362157,708467.028050716,874873.779854075,14.6492924553594,14.0569794954546,7.56061072568931,9.33646848998533,4.73354116646758,5.37985418841993,13.1917191497558,10.9037866328286,0.213897025145395,0.243102313078171,0.596101181642828,0.49271516641792,7.48070754464058,8.0730205045454,14.5693892743107,12.7935315100147,0.338034683445123,0.364799842049047,0.658354689304595,0.57810806642633,"female","ITA"
70,90414,439820,17.84,0.112994485303483,0.169661243549299,0.526727001732956,0.472802744232957,13.3691850396523,12.8905650500681,6.44956431353496,8.4533255895012,975288.523760919,936091.981369484,468497.791265769,603570.224265399,10.7869193240087,10.3533963918141,5.18169521607018,6.67562793666245,4.47081496034772,4.94943494993191,11.390435686465,9.3866744104988,0.250606219750433,0.27743469450291,0.63847733668526,0.526158879512265,7.05308067599134,7.48660360818586,12.6583047839298,11.1643720633375,0.395352055829111,0.419652668620283,0.709546232283062,0.625805608931477,"female","ITA"
75,85096,405287,13.78,0.18651536675903,0.228472720533216,0.64552724707442,0.54586727334907,9.62017874754746,9.40453084251562,4.40650533216765,6.25678155045714,622685.95169502,606015.587976722,280362.234368588,393998.688023999,7.3174526616412,7.12155198806902,3.29465820213157,4.63004945031493,4.15982125245254,4.37546915748438,9.37349466783235,7.52321844954286,0.301873820932695,0.317523160920492,0.680224576765773,0.545951991984242,6.4625473383588,6.65844801193098,10.4853417978684,9.14995054968507,0.468980213233585,0.483196517556675,0.760910144983195,0.664002216958278,"female","ITA"
80,76276,346141,10.06,0.270985645031975,0.280255764475639,0.70092645370487,0.567772986397119,6.41019434879865,6.39254785334122,3.03257615935798,4.5672687664734,341635.935308333,339461.377022519,157895.787004416,237100.81306541,4.47894403624118,4.45043496017776,2.07005856369521,3.1084589263387,3.64980565120135,3.66745214665878,7.02742384064202,5.4927312335266,0.362803742664151,0.364557867461112,0.698551077598611,0.545997140509602,5.58105596375882,5.60956503982224,7.98994143630479,6.9515410736613,0.554776934767278,0.557610838948533,0.794228771004452,0.691008059012058,"female","ITA"
85,60870,248710,6.93,0.380387776648034,0.408235203476298,0.720154227390202,0.55467453746588,3.88700881067814,3.91761114888807,2.0994112492697,3.26534420430442,147909.359195316,148198.22085143,78420.6796421278,122241.81354336,2.42992211590794,2.43466766636159,1.28833053461685,2.00824402075505,3.04299118932186,3.01238885111193,4.8305887507303,3.66465579569558,0.439104067723212,0.434688145903597,0.697054653785036,0.528810360129232,4.50007788409206,4.49533233363841,5.64166946538315,4.92175597924495,0.649361888036373,0.648677104421127,0.814093717948506,0.710210098015144,"female","ITA"
90,37647,128311,4.59,0.522710877556518,0.471864481571052,0.663341660665649,0.490855515081752,2.19136903966082,2.42481919115486,1.54569343207331,2.33762599753365,45792.3767355934,50670.7140182315,32299.8886441276,48848.6641951219,1.21636190760468,1.34594294414512,0.857967132683284,1.29754467009647,2.39863096033918,2.16518080884514,3.04430656792669,2.25237400246635,0.522577551272152,0.471716951818114,0.663247618284682,0.49071329029768,3.37363809239532,3.24405705585488,3.73203286731672,3.29245532990353,0.734997405750614,0.706766243105637,0.813079056060287,0.717310529390747,"female","ITA"
95,14771,38816,3.02,0.522710877556518,0.471864481571052,0.663341660665649,0.490855515081752,1.43910538529994,1.59241565122673,1.01508039123512,1.53515455451926,10955.7720608172,12122.9084951841,7727.71021731622,11686.9852265427,0.741708216154436,0.82072361351189,0.523167708165745,0.791211510834925,1.58089461470006,1.42758434877327,2.00491960876488,1.48484544548074,0.523475037980154,0.472710049262671,0.663880665153933,0.491670677311503,2.27829178384556,2.19927638648811,2.49683229183425,2.22878848916508,0.754401252928995,0.728237214068911,0.826765659547766,0.738009433498369,"female","ITA"
100,2801,5424,2.05,0.522710877556518,0.471864481571052,0.663341660665649,0.490855515081752,0.974855790610196,1.07870878291039,0.687619549922107,1.03991988511863,1371.17724486032,1517.2510141545,967.166927719768,1462.69273536335,0.489531326262164,0.541681904375044,0.345293440813912,0.522203761286453,1.0751442093898,0.971291217089606,1.36238045007789,1.01008011488136,0.524460589946246,0.473800593702247,0.664575829306289,0.492722007259202,1.56046867373784,1.50831809562496,1.70470655918609,1.52779623871355,0.761204231091627,0.7357649246951,0.831564175212726,0.745266457909047,"female","ITA"
105,201,297,1.51,0.522710877556518,0.471864481571052,0.663341660665649,0.490855515081752,0.705248106297085,0.780379348126357,0.497450382001503,0.752317970252336,70.8958880759366,78.4485437501234,50.0067795869475,75.6276410248985,0.352715861074311,0.390291262438425,0.248789948193769,0.376256920521883,0.804751893702915,0.729620651873643,1.0125496179985,0.757682029747664,0.53294827397544,0.483192484684532,0.670562660926157,0.501776178640837,1.15728413892569,1.11970873756158,1.26121005180623,1.13374307947812,0.76641333703688,0.741528965272566,0.835238444904789,0.750823231442461,"female","ITA"
50,96770,480434,32.02,0.0304933442926865,0.0728263937911104,0.221331247697408,0.120704123631908,28.4405997116849,27.1450380143103,18.5704597848433,21.2585667853406,2408064.97971182,2295321.045393,1599918.8648877,1822505.36746903,24.8844164484016,23.7193453073577,16.5332113763326,18.833371576615,3.57940028831506,4.87496198568973,13.4495402151567,10.7614332146594,0.111786392514524,0.152247407423165,0.420035609467729,0.336084734998733,7.13558355159839,8.30065469264235,15.4867886236674,13.186628423385,0.222847706171093,0.25923343824617,0.483659857078933,0.41182474776343,"male","ITA"
55,95299,470959,27.48,0.0566499931029763,0.112077668197843,0.309926346362146,0.211706178343289,23.9919922923815,22.8898477876939,14.9315779812542,17.1538827558566,1944742.11838035,1852228.95762769,1227796.57751358,1402293.83101639,20.4067421314007,19.4359747492386,12.8836249857142,14.7146751908876,3.48800770761849,4.59015221230607,12.5484220187458,10.3261172441434,0.126928955881313,0.167036106706917,0.456638355849556,0.375768458666062,7.07325786859931,8.04402525076143,14.5963750142858,12.7653248091124,0.257396574548738,0.292722898499324,0.531163574027868,0.464531470491719,"male","ITA"
60,92920,455742,23.11,0.056720248441368,0.112563459621675,0.379562644882185,0.26215133390642,19.8249429355731,18.9755121702134,11.8162726236754,13.5976517735338,1511191.04754527,1444151.70638828,910647.937769697,1040004.51314579,16.2633560863675,15.5418823330637,9.80034371254517,11.1924721604153,3.28505706442693,4.13448782978658,11.2937273763246,9.51234822646624,0.14214872628416,0.178904709207554,0.488694391013615,0.411611779596116,6.84664391363249,7.56811766693627,13.3096562874548,11.9175278395847,0.296263258919623,0.32748237416427,0.575926278124398,0.515687054936593,"male","ITA"
65,89127,432434,18.98,0.0865247265974781,0.123959374163497,0.408569266041341,0.359753861082469,15.8452713211329,15.2452397934535,9.14659632990914,10.4034150820059,1104790.86054481,1061810.86278927,643340.326506635,722111.719005991,12.3956922205932,11.913459028008,7.21824280528499,8.10205346310311,3.13472867886706,3.73476020654647,9.83340367009087,8.57658491799413,0.165159572121552,0.196773456614672,0.51809292255484,0.451874863961756,6.58430777940683,7.066540971992,11.761757194715,10.8779465368969,0.346907680685292,0.372315119704531,0.619692159890148,0.573126793303313,"male","ITA"
70,83461,397132,15.09,0.110307105440708,0.14829631921502,0.470228344862448,0.450312232186414,12.1880127324148,11.7412052944267,6.70317792845919,7.79239377885807,749311.167595154,720898.895327006,413184.5447026,472959.380128926,8.97797974617071,8.63755401117895,4.95063017100921,5.66683097649113,2.90198726758523,3.34879470557326,8.38682207154081,7.29760622114193,0.192311946162043,0.221921451661581,0.555786750930471,0.483605448717159,6.11202025382929,6.45244598882105,10.1393698289908,9.42316902350887,0.405037790180867,0.427597481035192,0.67192643001927,0.62446448134585,"male","ITA"
75,74794,344161,11.53,0.167555254774431,0.194830702026109,0.563179132473085,0.514379875565642,8.87635655343943,8.57948430249284,4.66701414737875,5.77669832566687,453769.05149099,437976.204079051,237202.655930841,290361.669065184,6.06691782082774,5.85576655987179,3.17141289315775,3.88215189808252,2.65364344656057,2.95051569750716,6.86298585262125,5.75330167433312,0.230151209588948,0.255899019731757,0.595228608206526,0.498985401069655,5.46308217917226,5.67423344012821,8.35858710684225,7.64784810191748,0.473814586224828,0.492127791858474,0.7249425070982,0.663299922109062,"male","ITA"
80,62169,267420,8.33,0.203621377532428,0.24419988962452,0.611989879148528,0.503002150961766,6.07060104065324,5.86443529991889,3.1965762606784,4.26146257659726,235297.944288201,226663.406415366,122561.126717958,162913.010312006,3.78481147015717,3.64592331250891,1.97141866071447,2.62048626022625,2.25939895934676,2.46556470008111,5.1334237393216,4.06853742340274,0.271236369669479,0.295986158473123,0.616257351659255,0.488419858751829,4.54518852984283,4.68407668749109,6.35858133928553,5.70951373977375,0.545640879933113,0.562314128150191,0.763335094752164,0.68541581509889,"male","ITA"
85,43928,165422,5.7,0.321947668568645,0.355649997292319,0.652385587145929,0.503350768826198,3.74329869049566,3.69855246412417,2.16186220706645,3.00545670494151,92508.6416040138,91149.7604127189,52991.5865171915,73802.1598978862,2.10591517037001,2.07498088719539,1.20632823067728,1.68007102298958,1.95670130950434,2.00144753587583,3.53813779293355,2.69454329505849,0.343280931491989,0.351131146644883,0.620725928584834,0.47272689386991,3.59408482962999,3.62501911280461,4.49367176932272,4.01992897701042,0.6305411981807,0.635968265404318,0.788363468302232,0.705250697721127,"male","ITA"
90,22371,68227,3.81,0.386016725326476,0.343618924329452,0.559950059566463,0.414252907000281,2.33654517482704,2.49789220402023,1.67463285632599,2.22909092197211,27275.7810467174,29159.2739439336,19548.9133336221,26021.4082637787,1.21924728651904,1.30344079137873,0.873850669778823,1.16317590915823,1.47345482517296,1.31210779597977,2.13536714367401,1.58090907802789,0.386733549914162,0.344385248288655,0.560463817237273,0.414936765886585,2.59075271348096,2.50655920862127,2.93614933022118,2.64682409084177,0.679987588840147,0.657889556068574,0.770642868824456,0.694704485785242,"male","ITA"
95,6593,15319,2.56,0.386016725326476,0.343618924329452,0.559950059566463,0.414252907000281,1.57449040268547,1.68321474994114,1.12845811359166,1.50208192042261,5237.57654271271,5599.25044674975,3753.84043948487,4996.70815282191,0.794414764555242,0.849272022865122,0.569367577655827,0.757880805827682,0.985509597314535,0.876785250058856,1.43154188640834,1.05791807957739,0.38496468645099,0.342494238304241,0.559196049378258,0.413249249834919,1.76558523544476,1.71072797713488,1.99063242234417,1.80211919417232,0.689681732595608,0.668253116068312,0.777590789978193,0.703952810223562,"male","ITA"
100,872,1526,1.82,0.386016725326476,0.343618924329452,0.559950059566463,0.414252907000281,1.11812550479536,1.19533617908811,0.801375350239056,1.06670456844444,487.907121161706,521.59890053313,349.689492304937,465.468995106251,0.559526515093699,0.598163876758177,0.401020059982725,0.533794719158545,0.701874495204637,0.624663820911891,1.01862464976094,0.753295431555557,0.385645327035515,0.343221879621918,0.559683873495024,0.41389858876679,1.2604734849063,1.22183612324182,1.41897994001727,1.28620528084145,0.692567848849616,0.671338529253749,0.779659307701799,0.706706198264536,"male","ITA"
105,44,62,1.42,0.386016725326476,0.343618924329452,0.559950059566463,0.414252907000281,0.865158250676329,0.924900606626682,0.620070370610893,0.825370903772332,19.0336445663406,20.3479876565508,13.6416650145803,18.1583154359573,0.432582831053195,0.462454264921609,0.310037841240462,0.412688987180848,0.55484174932367,0.495099393373318,0.799929629389107,0.594629096227668,0.390733626284275,0.348661544629097,0.563330724921906,0.418752884667372,0.987417168946805,0.957545735078391,1.10996215875954,1.00731101281915,0.695364203483666,0.674327982449571,0.781663492084182,0.709373952689543,"male","ITA"
